,id,worth (BUSD),worthChage (millions USD),realTimePosition,name,position,age,gender,country,area,source
0,3033,112.0,0.0,1,Jeff Bezos,1,54 years old,M,United States,Technology  , Amazon
1,3381,90.0,-0.001,2,Bill Gates,2,62 years old,M,United States,Technology  , Microsoft
2,2949,84.0,-0.002,3,Warren Buffett,3,87 years old,M,United States,Finance and Investments  , Berkshire Hathaway
3,7380,72.0,0.0,4,Bernard Arnault,4,69 years old,None,,Fashion & Retail  , LVMH
4,6568,71.0,0.0,5,Mark Zuckerberg,5,1985,None,,Technology  , Facebook
5,9515,70.0,0.0,6,Amancio Ortega,6,82 years old,None,Spain,Fashion & Retail  , Zara
6,9195,67.1,0.001,7,Carlos Slim Helu,7,78 years old,Male,,Telecom  , telecom
7,1409,60.0,0.0,12,Charles Koch,8,82 years old,Male,United States,Diversified  , Koch Industries
8,7404,60.0,0.0,13,David Koch,9,78 years old,Male,,Diversified  , Koch Industries
9,1263,58.5,-0.001,8,Larry Ellison,10,73 years old,None,,Technology  , software
10,1376,50.0,0.0,11,Michael Bloomberg,11,76 years old,Male,,Media & Entertainment  , Bloomberg LP
11,2312,48.8,0.0,9,Larry Page,12,45 years old,M,,Technology  , Google
12,4894,47.5,0.0,10,Sergey Brin,13,44 years old,None,,Technology  , Google
13,9959,46.4,0.0,19,Jim Walton,14,70 years old,None,United States,Fashion & Retail  , Walmart
14,4244,46.2,0.0,20,S. Robson Walton,15,73 years old,M,,Fashion & Retail  , Walmart
15,9199,46.0,0.0,21,Alice Walton,16,68 years old,F,,Fashion & Retail  , Walmart
16,6360,45.3,0.001,15,Ma Huateng,17,46 years old,Male,,Technology  , internet media
17,2090,42.2,0.0,14,Francoise Bettencourt Meyers,18,64 years old,F,,Fashion & Retail  , L'Oreal
18,1637,40.1,0.0,17,Mukesh Ambani,19,61 years old,M,,Energy  ," petrochemicals, oil & gas"
19,7183,39.0,0.0,18,Jack Ma,20,53 years old,None,,Technology  , e-commerce
20,9946,38.5,0.0,16,Sheldon Adelson,21,84 years old,Male,,Gambling & Casinos  , casinos
21,4168,38.4,0.0,22,Steve Ballmer,22,62 years old,M,,Technology  , Microsoft
22,4317,34.9,0.001,24,Li Ka-Shing,23,90 years old,Male,,Diversified  , diversified
23,4115,30.3,0.0,26,Hui Ka Yan,24,59 years old,M,,Real Estate  , real estate
24,3752,30.3,0.0,28,Lee Shau Kee,25,90 years old,Male,,Real Estate  , real estate
25,3820,30.0,0.0,27,Wang Jianlin,26,63 years old,M,,Real Estate  , real estate
26,2149,29.8,0.0,29,Beate Heister & Karl Albrecht Jr.,27,66 years old,,,Fashion & Retail  , supermarkets
27,3364,29.6,0.0,25,Phil Knight,28,80 years old,None,,Fashion & Retail  , Nike
28,5580,27.4,-672.311,30,Jorge Paulo Lemann,29,78 years old,M,Brazil,Food and Beverage  , beer
29,8583,27.0,0.0,23,Francois Pinault,30,81 years old,M,,Fashion & Retail  , luxury goods
30,1197,25.3,0.0,40,Georg Schaeffler,31,53 years old,M,,Automotive  , auto parts
31,8469,25.0,0.0,38,Susanne Klatten,32,56 years old,F,,Automotive  ," BMW, pharmaceuticals"
32,5771,25.0,0.0,32,David Thomson,33,61 years old,M,Canada,Media & Entertainment  , media
33,2682,23.6,0.0,34,Jacqueline Mars,34,78 years old,F,,Food and Beverage  ," candy, pet food"
34,1864,23.6,0.0,35,John Mars,35,82 years old,M,United States,Food and Beverage  ," candy, pet food"
35,5327,23.5,0.0,53,Joseph Safra,36,79 years old,M,Brazil,Finance and Investments  , banking
36,1321,23.0,0.0,43,Giovanni Ferrero,37,53 years old,M,Italy,Food and Beverage  ," Nutella, chocolates"
37,7495,23.0,0.0,33,Dietrich Mateschitz,38,74 years old,Male,Austria,Food and Beverage  , Red Bull
38,4841,22.7,0.0,36,Michael Dell,39,53 years old,None,,Technology  , Dell computers
39,8817,22.7,0.0,42,Masayoshi Son,40,60 years old,None,,Telecom  ," internet, telecom"
40,5762,22.6,,42,Serge Dassault,41,93 years old,M,,Diversified  , diversified
41,4411,22.0,0.0,51,Stefan Quandt,42,52 years old,Male,,Automotive  , BMW
42,8553,21.9,0.0,31,Yang Huiyan,43,1983,F,,Real Estate  , real estate
43,9136,21.7,0.0,49,Paul Allen,44,65 years old,M,,Technology  ," Microsoft, investments"
44,6637,21.2,0.006,39,Leonardo Del Vecchio,45,83 years old,Male,,Fashion & Retail  , eyeglasses
45,7679,20.9,0.0,79,Dieter Schwarz,46,78 years old,None,,Fashion & Retail  , retail
46,8195,20.3,0.0,41,Thomas Peterffy,47,73 years old,None,,Finance and Investments  , discount brokerage
47,2945,20.2,0.0,54,"Theo Albrecht, Jr.",48,67 years old,M,,Fashion & Retail  ," Aldi, Trader Joe's"
48,2931,20.2,-0.001,44,Len Blavatnik,49,61 years old,M,,Diversified  , diversified
49,7213,20.1,0.001,47,He Xiangjian,50,75 years old,None,China,Manufacturing  , home appliances
50,6528,20.1,0.0,46,Lui Che Woo,51,89 years old,M,,Gambling & Casinos  , casinos
51,2918,20.0,0.0,50,James Simons,52,80 years old,M,USA,Finance and Investments  , hedge funds
52,8187,20.0,0.0,67,Henry Sy,53,93 years old,None,Philippines,Diversified  , diversified
53,6443,19.9,0.0,45,Elon Musk,54,46 years old,M,,Automotive  , Tesla Motors
54,9243,19.5,0.001,61,Hinduja Family,55,,Male,UK,Diversified  , diversified
55,1132,19.5,0.0,37,Tadashi Yanai,56,69 years old,M,Japan,Fashion & Retail  , fashion retail
56,5497,19.1,0.0,52,Vladimir Lisin,57,62 years old,M,,Metals & Mining  ," steel, transport"
57,3512,18.8,0.0,48,Laurene Powell Jobs,58,54 years old,F,United States,Philanthropy/NGO  ," Apple, Disney"
58,7506,18.8,0.0,71,Azim Premji,59,72 years old,None,,Technology  , software services
59,2511,18.7,0.0,60,Alexey Mordashov,60,52 years old,M,,Metals & Mining  ," steel, investments"
60,1074,18.6,0.0,62,Lee Kun-Hee,61,76 years old,Male,,Diversified  , Samsung
61,7751,18.5,0.001,63,Lakshmi Mittal,62,68 years old,M,India,Metals & Mining  , steel
62,1983,18.2,0.0,64,Wang Wei,63,48 years old,Male,,Service  , package delivery
63,8236,18.0,0.0,59,Leonid Mikhelson,64,62 years old,M,Russia,Energy  ," gas, chemicals"
64,9956,17.9,0.0,87,Charoen Sirivadhanabhakdi,65,74 years old,M,Thailand,Food and Beverage  ," drinks, real estate"
65,5587,17.8,0.0,57,Pallonji Mistry,66,89 years old,M,Ireland,Construction & Engineering  , construction
66,3867,17.7,0.0,68,Ray Dalio,67,68 years old,M,,Finance and Investments  , hedge funds
67,2104,17.5,0.0,65,Takemitsu Takizaki,68,73 years old,M,Japan,Manufacturing  , sensors
68,6224,17.4,0.0,80,William Ding,69,46 years old,M,,Technology  , online games
69,3442,17.4,0.0,91,R. Budi Hartono,70,77 years old,Male,Indonesia,Finance and Investments  ," banking, tobacco"
70,4690,17.4,-1.2570000000000001,66,Gina Rinehart,71,64 years old,None,Australia,Metals & Mining  , mining
71,9042,17.3,0.0,86,German Larrea Mota Velasco,72,64 years old,M,,Metals & Mining  , mining
